timestamp,time_taken,docs_count,terms_count
2025-04-15 14:08:50.380727,6.3484673500061035,10,814
2025-04-15 14:09:18.454244,5.951672077178955,10,814
2025-04-15 14:09:46.939957,6.023150682449341,10,814
2025-04-15 14:10:15.312881,6.7866904735565186,10,814
2025-04-15 14:10:43.761652,6.648335933685303,10,814
2025-04-15 14:29:40.037342,8.510770320892334,261,8684
2025-04-15 14:36:30.035941,9.125946283340454,439,12702
2025-04-15 14:43:06.456300,8.904520273208618,978,19788
2025-04-15 15:34:04.073688,10.078495740890503,417,12806
2025-04-15 15:40:13.017250,6.676196813583374,139,6483
2025-04-15 15:40:42.796148,7.42056679725647,931,19631
2025-04-15 15:41:12.347824,7.184335470199585,1118,21213
2025-04-15 15:45:51.326408,7.54220986366272,137,6656
2025-04-15 15:46:19.880774,6.988020420074463,781,18101
2025-04-15 15:46:49.245250,7.065120458602905,1112,21207
2025-04-15 15:47:18.589299,7.027346849441528,1135,21226
2025-04-15 15:47:47.789370,7.024420976638794,1161,21250
2025-04-15 15:48:17.332755,7.499479532241821,1187,21272
2025-04-15 15:48:46.438263,7.733270168304443,1194,21277
2025-04-15 15:49:17.150775,7.9439756870269775,1194,21277
2025-04-15 15:49:47.330278,8.750364780426025,1194,21277
2025-04-15 15:50:17.499566,8.329241275787354,1194,21277
2025-04-15 15:50:46.786697,7.955859899520874,1194,21277
2025-04-15 15:51:15.231628,6.999731779098511,1194,21277
2025-04-15 15:51:46.093329,8.290024042129517,1194,21277
2025-04-15 15:52:17.034584,8.54302978515625,1194,21277
2025-04-15 15:52:46.404751,6.951489686965942,1194,21277
2025-04-15 15:53:18.229265,9.422429323196411,1194,21277
2025-04-15 15:53:49.063661,8.590633392333984,1194,21277
2025-04-15 15:54:18.550469,7.354996204376221,1194,21277
2025-04-15 15:54:47.779803,6.773206472396851,1194,21277
2025-04-15 15:55:16.878046,7.002572536468506,1194,21277
2025-04-15 15:55:46.309501,7.927693605422974,1194,21277
2025-04-15 15:56:14.871307,7.12380576133728,1194,21277
2025-04-15 15:56:44.326582,6.843487739562988,1194,21277
2025-04-15 15:57:13.884395,7.190092086791992,1194,21277
2025-04-15 15:57:42.256911,6.281417369842529,1194,21277
2025-04-15 15:58:10.987564,6.578063726425171,1194,21277
2025-04-15 15:58:39.740288,6.6370580196380615,1194,21277
2025-04-15 15:59:08.531652,6.803310394287109,1194,21277
2025-04-15 15:59:37.188482,7.106275796890259,1194,21277
2025-04-15 16:00:05.177007,6.315964221954346,1194,21277
2025-04-15 16:00:34.977646,7.415342092514038,1194,21277
2025-04-15 16:01:04.993782,7.489785671234131,1194,21277
2025-04-15 16:01:34.154203,6.872890472412109,1194,21277
2025-04-15 16:02:02.797378,6.511675834655762,1194,21277
2025-04-15 16:02:32.254444,7.193097829818726,1194,21277
2025-04-15 16:03:02.194897,7.660233497619629,1194,21277
2025-04-15 16:03:31.609621,6.946080446243286,1194,21277
2025-04-15 16:04:01.671540,8.320287227630615,1194,21277
2025-04-15 16:04:31.111734,7.842935562133789,1194,21277
2025-04-15 16:05:00.611893,7.831895351409912,1194,21277
2025-04-15 16:05:30.068581,7.283101558685303,1194,21277
2025-04-15 16:05:59.520978,7.0161659717559814,1194,21277
2025-04-15 16:06:28.533338,6.731748819351196,1194,21277
2025-04-15 16:06:57.100764,6.132202625274658,1194,21277
2025-04-15 16:07:26.618524,6.873074293136597,1194,21277
2025-04-15 16:07:55.665599,6.36085319519043,1194,21277
2025-04-15 16:08:24.819526,7.336174964904785,1194,21277
2025-04-15 16:08:52.591639,6.0506744384765625,1194,21277
2025-04-15 16:09:21.421241,6.207579135894775,1194,21277
2025-04-15 16:09:50.317375,6.2056615352630615,1194,21277
2025-04-15 16:10:19.062161,6.072352886199951,1194,21277
2025-04-15 16:10:47.960406,6.265280485153198,1194,21277
2025-04-15 16:11:16.556281,6.261722564697266,1194,21277
2025-04-15 16:11:45.886957,7.512134075164795,1194,21277
2025-04-15 16:12:15.015177,7.5169665813446045,1194,21277
2025-04-15 16:12:43.569304,6.815754413604736,1194,21277
2025-04-15 16:13:13.786110,8.020449876785278,1194,21277
2025-04-15 16:13:43.113523,6.741976737976074,1194,21277
2025-04-15 16:14:12.404000,6.933564901351929,1194,21277
2025-04-15 16:14:41.277564,6.482356071472168,1194,21277
2025-04-15 16:15:09.770803,6.248337507247925,1194,21277
2025-04-15 16:15:38.461053,6.2565765380859375,1194,21277
2025-04-15 16:16:06.666522,6.860894680023193,1194,21277
2025-04-15 16:16:34.020614,6.036048173904419,1194,21277
2025-04-15 16:17:03.429779,6.781275510787964,1194,21277
2025-04-15 16:17:31.963086,6.360297203063965,1194,21277
2025-04-15 16:18:00.777615,6.673732280731201,1194,21277
2025-04-15 16:18:29.703608,6.208206415176392,1194,21277
2025-04-15 16:18:59.376264,7.138948440551758,1194,21277
2025-04-15 16:19:28.740847,7.773959398269653,1194,21277
2025-04-15 16:19:57.763623,7.553385257720947,1194,21277
2025-04-15 16:20:26.501789,7.1573896408081055,1194,21277
2025-04-15 16:20:56.986248,7.8876612186431885,1194,21277
2025-04-15 16:21:28.696110,9.123218536376953,1194,21277
2025-04-15 16:21:59.180128,8.201783418655396,1194,21277
2025-04-15 16:22:29.841519,8.120261192321777,1194,21277
2025-04-15 16:22:59.911769,7.458036184310913,1194,21277
2025-04-15 16:23:29.143186,6.929255485534668,1194,21277
2025-04-15 16:23:58.879640,7.136062383651733,1194,21277
2025-04-15 16:24:27.915034,7.560756206512451,1194,21277
