timestamp,urls_processed_last_5_sec,queue_length
2025-04-15 21:48:37,1,67
2025-04-15 21:48:42,15,103
2025-04-15 21:48:47,0,103
2025-04-15 21:48:52,0,103
2025-04-15 21:48:57,0,104
2025-04-15 21:49:02,0,104
2025-04-15 21:49:07,0,104
2025-04-15 21:49:12,0,104
2025-04-15 21:49:17,0,103
2025-04-15 21:49:22,15,102
2025-04-15 21:49:27,17,106
2025-04-15 21:49:32,16,109
2025-04-15 21:49:37,18,112
2025-04-15 21:49:42,17,117
2025-04-15 21:49:47,18,121
2025-04-15 21:49:52,18,123
2025-04-15 21:49:57,19,128
2025-04-15 21:50:02,16,121
2025-04-15 21:50:07,20,125
2025-04-15 21:50:12,16,129
2025-04-15 21:50:17,19,132
2025-04-15 21:50:22,16,135
2025-04-15 21:50:27,19,140
2025-04-15 21:50:32,15,142
